Id,Designator,Package,Quantity,Designation,Supplier and ref
1,R1,R_0805_OEM,1,R_100,
2,J4,Pin_Header_Straight_2x03,1,CONN_02X03,
3,R2,R_0805_OEM,1,R_1k,
4,L1,4.7uH_Inductor_OEM,1,L_4.7uH,
5,F1,Fuse_1210,1,500mA,
6,"D2,D1,D3,D4,D5",LED_0805_OEM,5,LED_0805,
7,R9,R_2512_OEM,1,R_0_Jumper,
8,C7,C_0805_OEM,1,C_47uF,
9,U2,SOT-23-6_OEM,1,TPS561201,
10,C3,C_1206_OEM,1,C_22uF,
11,"R12,PC7,PB5,PB6",R_0805_OEM,4,R_200,
12,"R4,R3,R8",R_0805_OEM,3,R_10k,
13,R5,R_0805_OEM,1,R_51.1k,
14,"C12,C5,C1,C4,C9,C10",C_0805_OEM,6,C_0.1uF,
15,C11,C_0805_OEM,1,C_1uF,
16,D7,DO-214AA,1,D_Zener_18V,
17,C2,C_0805_OEM,1,C_100pF,
18,"C6,C8",C_0805_OEM,2,C_30pF,
19,"C13,C14",C_0603_1608Metric,2,C_100nF,
20,R7,R_0805_OEM,1,R_120,
21,U1,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1,CAN_Transceiver,
22,U5,TQFP-32_7x7mm_Pitch0.8mm,1,ATMEGA16M1,
23,Y1,Crystal_SMD_FA238,1,Crystal_SMD,
24,U3,SOT-23-3_OEM,1,LM3480,
25,U4,bmi088,1,BMI088,
26,J1,Ultrafit_8_RA,1,UF_8_RA,
27,"Q1,Q2,Q3",TO-92_Inline,3,2N7000,
28,"R13,R14,R15",R_0805_OEM,3,R_10K,
